# STATION_ID | OWNER | TTYPE | HULL | NAME | PAYLOAD | LOCATION | TIMEZONE | FORECAST | NOTE
#
44038|NC|2-meter discus buoy||Buoy L0102 - Scotian Shelf||43.633 N 66.550 W (43&#176;38'0" N 66&#176;33'0" W)|E|FZUS51.KGYX |Caution: Right whales may be active in northeast waters year-round. NOAA may establish temporary Dynamic Management Areas (DMAs) to protect aggregations of right whales. Mariners are requested to transit DMAs at 10 knots or less when consistent with safe navigation. For information on currently active DMAs, go to: <a title="http://www.nmfs.noaa.gov/pr/shipstrike" href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a><a href="http://rwhalesightings.nefsc.noaa.gov/">&nbsp;</a>
44039|Y|Moored Buoy||Central Long Island Sound||41.138 N 72.655 W (41&#176;8'15" N 72&#176;39'18" W)|E|FZUS51.KOKX |
44040|Y|Moored Buoy||Western Long Island Sound||40.956 N 73.580 W (40&#176;57'21" N 73&#176;34'48" W)|E|FZUS51.KOKX |
44041|CB|Moored Buoy||Jamestown, VA||37.211 N 76.787 W (37&#176;12'41" N 76&#176;47'12" W)|E| |
44042|CB|Moored Buoy||Potomac, MD||38.033 N 76.335 W (38&#176;1'59" N 76&#176;20'8" W)|E| |
44043|CB|Moored Buoy||Patapsco, MD||39.152 N 76.391 W (39&#176;9'7" N 76&#176;23'28" W)|E|FZUS51.KLWX |
44044|B|Moored Buoy||Patuxent River Buoy||38.389 N 76.526 W (38&#176;23'19" N 76&#176;31'35" W)|E| |
44052|VM|Marine Observation Buoy||Goodwin Islands||37.236 N 76.399 W (37&#176;14'11" N 76&#176;23'56" W)|E| |
44053|VM|Marine Observation Buoy||Gloucester Point||37.244 N 76.500 W (37&#176;14'40" N 76&#176;30'1" W)|E| |
44054|DW|Moored Buoy||Lower Delaware Bay Buoy||38.883 N 75.183 W (38&#176;53'0" N 75&#176;11'0" W)|E| |
44055|DW|Moored Buoy||Central Delaware Bay||39.122 N 75.256 W (39&#176;7'20" N 75&#176;15'20" W)|E| |
44056|AC|Waverider Buoy||Duck FRF, NC||36.200 N 75.714 W (36&#176;11'59" N 75&#176;42'51" W)|E|FZUS52.KMHX |Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the mid-Atlantic coast. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike/">http://www.nmfs.noaa.gov/pr/shipstrike/</a><a href="http://www.nmfs.noaa.gov/pr/shipstrike/">?</a>
44057|CB|Moored Buoy||Susquehanna, MD||39.540 N 76.074 W (39&#176;32'25" N 76&#176;4'25" W)|E|FZUS51.KLWX |Buoy recovered for winter.
44058|CB|Moored Buoy||Stingray Point, VA||37.567 N 76.257 W (37&#176;34'2" N 76&#176;15'27" W)|E|FZUS51.KAKQ |
44059|CB|Moored Buoy||Norfolk, VA||36.846 N 76.298 W (36&#176;50'44" N 76&#176;17'53" W)|E| |Station 44059 has been disestablished as of 7/20/16.
44060|Y|2.4-meter foam hull buoy||Eastern Long Island Sound||41.263 N 72.067 W (41&#176;15'48" N 72&#176;4'0" W)|E|FZUS51.KOKX |
44061|CB|Moored Buoy||Upper Potomac, MD||38.788 N 77.036 W (38&#176;47'16" N 77&#176;2'9" W)|E|FZUS51.KLWX |Buoy recovered for winter.
44062|CB|Moored Buoy||Gooses Reef, MD||38.556 N 76.415 W (38&#176;33'23" N 76&#176;24'53" W)|E|FZUS51.KLWX |
44063|CB|Moored Buoy||Annapolis, MD||38.963 N 76.448 W (38&#176;57'47" N 76&#176;26'51" W)|E|FZUS51.KLWX |
44064|CB|Moored Buoy||First Landing, VA||36.998 N 76.087 W (36&#176;59'53" N 76&#176;5'14" W)|E|FZUS51.KAKQ |Right whales are active off VA from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas along the mid-Atlantic coast. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a><a href="http://www.nmfs.noaa.gov/pr/shipstrike"></a>
44065|N|3-meter foam buoy|3DV11|New York Harbor Entrance - 15 NM SE of Breezy Point , NY|SCOOP payload|40.368 N 73.701 W (40&#176;22'6" N 73&#176;42'2" W)|E|FZUS51.KOKX FZUS51.KPHI|Right whales are active off NY from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 1 and April 30. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>
44066|N|3-meter foam buoy|3DV46|Texas Tower #4 - 75 NM East of Long Beach, NJ|SCOOP payload|39.618 N 72.644 W (39&#176;37'6" N 72&#176;38'40" W)|E|FZNT22.KWBC |Buoy recovered 4/16/24.			</p>Right whales are active off NJ from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas along the mid-Atlantic coast. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>
44067|IN|Buoy||Potomac River, Near HWY 301||38.368 N 76.996 W (38&#176;22'5" N 76&#176;59'45" W)|E| |
44068|CB|Moored Buoy||VCU Rice Rivers Center ||37.314 N 77.191 W (37&#176;18'50" N 77&#176;11'28" W)|E| |
44069|ST|Buoy||Great South Bay||40.699 N 73.087 W (40&#176;41'55" N 73&#176;5'12" W)|E|FZUS51.KOKX |Buoy recovered 2/4/24.
44070|N|1.8-meter discus buoy|18D13|Buzzards Bay MA. Offshore|WAMDAS payload|41.392 N 71.004 W (41&#176;23'33" N 71&#176;0'13" W)|E| |<p>For area forecasts and warnings, select: <a href="http://www.erh.noaa.gov/er/box/">Boston WFO</a></p><p>Met data for this area are available at <a href="http://www.ndbc.noaa.gov/station_page.php?station=buzm3">BUZM3</a>.</p><p>Station 44070 has been disestablished on June 13, 2016.</p>
44071|N|1.8-meter discus buoy||Chesapeake Light Va.|WAMDAS payload|36.906 N 75.691 W (36&#176;54'22" N 75&#176;41'29" W)|E|FZUS51.KLWX FZUS51.KAKQ|
44072|CB|Moored Buoy||York Spit, VA   ||37.201 N 76.266 W (37&#176;12'2" N 76&#176;15'58" W)|E|FZUS51.KLWX |
44073|NH|Moored Buoy||CO2 Gulf of Maine Buoy||43.020 N 70.540 W (43&#176;1'12" N 70&#176;32'24" W)|E| |
44075|OO|Buoy||OOI Pioneer Inshore Surface Mooring||40.363 N 70.883 W (40&#176;21'47" N 70&#176;52'59" W)|E|FZNT22.KWBC |
44076|OO|Buoy||OOI Pioneer Central Surface Mooring||40.137 N 70.775 W (40&#176;8'13" N 70&#176;46'30" W)|E|FZNT22.KWBC |
44077|OO|Buoy||OOI Pioneer Offshore Surface Mooring||39.940 N 70.883 W (39&#176;56'24" N 70&#176;52'59" W)|E|FZNT22.KWBC |
44078|OO|Buoy||OOI Irminger Sea Surface Mooring||59.940 N 39.520 W (59&#176;56'24" N 39&#176;31'12" W)|?| |
44079|OO|Moored Buoy||OOI Mid-Atlantic Bright Northern Surface Mooring||36.175 N 74.827 W (36&#176;10'30" N 74&#176;49'37" W)|E| |
44084|R|Waverider Buoy||Bethany Beach, DE (263)||38.537 N 75.044 W (38&#176;32'14" N 75&#176;2'38" W)|E| |
44085|WN|Waverider Buoy||Buzzards Bay, MA (260)||41.387 N 71.032 W (41&#176;23'13" N 71&#176;1'55" W)|E|FZUS51.KBOX |Caution: Right whales may be active in northeast waters year-round. Mandatory speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the US east coast. Voluntary speed restrictions may be in effect in other areas and times. For current information on speed-restricted areas, go to: <a title="http://www.nmfs.noaa.gov/pr/shipstrike" href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>
44086|SI|Waverider Buoy||Nags Head, NC (243)||36.001 N 75.421 W (36&#176;0'5" N 75&#176;25'16" W)|E| |
44087|NV|Waverider Buoy||Thimble Shoal, VA (240)||37.026 N 76.149 W (37&#176;1'32" N 76&#176;8'57" W)|E| |
44088|R|Waverider Buoy||Virginia Beach Offshore, VA (171)||36.612 N 74.839 W (36&#176;36'42" N 74&#176;50'20" W)|E|FZUS52.KMLB |Right whales are active off VA from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the U.S. East Coast.  It is illegal to approach right whales within 500 yards.  To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>.<br /><br />
44089|AC|Waverider Buoy||Wallops Island, VA (224)||37.754 N 75.325 W (37&#176;45'15" N 75&#176;19'30" W)|E|FZUS51.KPHI |Right whales are active off VA from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas along the mid-Atlantic coast. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a><a href="http://www.nmfs.noaa.gov/pr/shipstrike"></a>
44090|WN|Waverider Buoy||Cape Cod Bay, MA (221)||41.840 N 70.329 W (41&#176;50'24" N 70&#176;19'43" W)|E|FZUS51.KBOX |Caution: Right whales may be active in northeast waters year-round. Mandatory speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the US east coast. Voluntary speed restrictions may be in effect in other areas and times. For current information on speed-restricted areas, go to: <a title="http://www.nmfs.noaa.gov/pr/shipstrike" href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>
44091|AC|Waverider Buoy||Barnegat, NJ (209)||39.768 N 73.770 W (39&#176;46'5" N 73&#176;46'13" W)|E|FZUS51.KPHI |Right whales are active off NJ from November to April.? Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas along the mid-Atlantic coast.? To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>
44092|NO|Waverider Buoy||Isle of Shoals, NH (211)||42.942 N 70.632 W (42&#176;56'32" N 70&#176;37'55" W)|E| |
44093|VD|Waverider Buoy||Offshore Wind Energy Area, VA (210)||36.872 N 75.492 W (36&#176;52'21" N 75&#176;29'30" W)|E|FZUS51.KAKQ |Right whales are active off VA from November to April.? Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas along the mid-Atlantic coast.? To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a><a href="http://www.nmfs.noaa.gov/pr/shipstrike">?</a>
44094|R|Waverider Buoy||Fire Island Nearshore, NY (207)||40.585 N 73.106 W (40&#176;35'5" N 73&#176;6'23" W)|E|FZUS51.KOKX |Right whales are active off NY. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>
44095|SI|Waverider Buoy||Oregon Inlet, NC (192)||35.750 N 75.330 W (35&#176;45'0" N 75&#176;19'48" W)|E|FZUS52.KMHX |Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the mid-Atlantic coast. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike/">http://www.nmfs.noaa.gov/pr/shipstrike/</a><a href="http://www.nmfs.noaa.gov/pr/shipstrike/">&nbsp;</a>
44096|R|Waverider Buoy||Cape Charles, VA (186)||37.023 N 75.809 W (37&#176;1'25" N 75&#176;48'33" W)|E|FZUS51.KAKQ |Right whales are active off VA from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas along the mid-Atlantic coast. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a><a href="http://www.nmfs.noaa.gov/pr/shipstrike"></a>
44097|R|Waverider Buoy||Block Island, RI  (154)||40.967 N 71.124 W (40&#176;58'2" N 71&#176;7'25" W)|E|FZUS51.KBOX |<p>Right whales are active off NY from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas along the mid-Atlantic coast. To learn more about right whales and rules protecting them, go to: <a style="font-size: 9pt;" href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a></p>
44098|NH|Waverider Buoy||Jeffrey's Ledge, NH (160)||42.800 N 70.171 W (42&#176;47'59" N 70&#176;10'14" W)|E|FZUS51.KBOX |Caution: Right whales may be active in northeast waters year-round. Mandatory speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the US east coast. Voluntary speed restrictions may be in effect in other areas and times. For current information on speed-restricted areas, go to: <a title="http://www.nmfs.noaa.gov/pr/shipstrike" href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>
44099|R|Waverider Buoy||Cape Henry, VA (147)||36.915 N 75.722 W (36&#176;54'53" N 75&#176;43'19" W)|E|FZUS51.KAKQ |Right whales are active off VA from November to April.? Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas along the mid-Atlantic coast.? To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a><a href="http://www.nmfs.noaa.gov/pr/shipstrike">?</a>
44100|R|Waverider Buoy||Duck FRF 26m, NC (430)||36.258 N 75.593 W (36&#176;15'30" N 75&#176;35'36" W)|E|FZUS51.KAKQ |Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the mid-Atlantic coast. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike/">http://www.nmfs.noaa.gov/pr/shipstrike/</a><a href="http://www.nmfs.noaa.gov/pr/shipstrike/"></a>
44137|C|6-meter NOMAD buoy||East Scotia Slope||42.260 N 62.030 W (42&#176;15'36" N 62&#176;1'48" W)|N| |
44138|C|6-meter NOMAD buoy||SW Grand Banks||44.250 N 53.630 W (44&#176;15'0" N 53&#176;37'48" W)|N| |
44139|C|6-meter NOMAD buoy||Banqureau Banks||44.240 N 57.100 W (44&#176;14'24" N 57&#176;6'0" W)|N| |
44140|C|6-meter NOMAD buoy||Tail of the Bank||42.870 N 51.470 W (42&#176;52'12" N 51&#176;28'12" W)|?| |
44141|C|6-meter NOMAD buoy||Laurentian Fan||42.990 N 57.960 W (42&#176;59'24" N 57&#176;57'36" W)|N| |
44142|C|Canadian NOMAD buoy||La Have Bank||42.500 N 64.033 W (42&#176;30'0" N 64&#176;2'0" W)|N| |Buoy now <a href="http://www.ndbc.noaa.gov/station_page.php?station=44150">44150</a>.
44150|C|6-meter NOMAD buoy||La Have Bank||42.500 N 64.020 W (42&#176;30'0" N 64&#176;1'12" W)|N| |
44172|R|Waverider Buoy||Halifax Harbor, NS, Canada - 176||44.500 N 63.408 W (44&#176;30'0" N 63&#176;24'29" W)|N| |
44174|C|Buoy||Anticosti||49.075 N 60.822 W (49&#176;4'30" N 60&#176;49'18" W)|N| |
44175|C|Buoy||iles de la Madeleine||46.877 N 62.000 W (46&#176;52'36" N 62&#176;0'0" W)|E| |
44176|C|Buoy||Point Escuminac||47.535 N 64.527 W (47&#176;32'6" N 64&#176;31'36" W)|E| |
44235|C|Waverider Buoy||South Ramea Island, Newfoundland (170)||47.263 N 57.341 W (47&#176;15'45" N 57&#176;20'26" W)|N| |
44251|C|6-meter NOMAD buoy||Nickerson Bank||46.440 N 53.390 W (46&#176;26'24" N 53&#176;23'24" W)|?| |
44255|C|6-meter NOMAD buoy||NE Burgeo Bank||47.270 N 57.340 W (47&#176;16'12" N 57&#176;20'24" W)|?| |
44258|C|3-meter discus buoy||Halifax Harbour||44.500 N 63.400 W (44&#176;30'0" N 63&#176;24'0" W)|N| |
44401|N|2.6-meter discus buoy|2.6D73|NORTHEAST CASTLE ROCK SEAMOUNT - 620NM South of St John's Newfoundland, CN|DART II payload|37.592 N 50.030 W (37&#176;35'30" N 50&#176;1'48" W)|?| |Station 44401 has been disestablished and replaced in the operational DART array by <a href="http://www.ndbc.noaa.gov/station_page.php?station=44403">44403</a>.
44402|N|2.6-meter discus buoy|2.6D95|SOUTHEAST BLOCK CANYON - 130 NM SE of Fire Island, NY|DART II payload|39.295 N 70.700 W (39&#176;17'42" N 70&#176;41'59" W)|?| |
44403|N|2.6 meter DART buoy|2.6D95|SABLE ISLAND BANK - 437 NM E of Boston, MA|DART II payload|41.944 N 61.667 W (41&#176;56'37" N 61&#176;40'0" W)|N| |
44488|C|3-meter discus buoy||East of Chedabucto Bay||45.440 N 60.950 W (45&#176;26'24" N 60&#176;57'0" W)|?| |
44489|C|3-meter discus buoy||West Chedabucto Bay||45.490 N 61.140 W (45&#176;29'24" N 61&#176;8'24" W)|?| |
44490|C|3-meter discus buoy||West Bay of Fundy||44.660 N 66.370 W (44&#176;39'36" N 66&#176;22'12" W)|?| |
44585|N|Drifting Buoy||Drifting Buoy||43.354 N 67.635 W (43&#176;21'14" N 67&#176;38'6" W)|?| |Wind speed corrected to the 10-meter height.
44d03|N|2.6 meter DART buoy|2.6D52|Adrift buoy from 44403|DART II payload|41.910 N 61.643 W (41&#176;54'37" N 61&#176;38'35" W)|N| |Buoy went adrift 10/01/2023.</p>Click <a title="here" href="https://www.ndbc.noaa.gov/nws_special/44d03.txt">here</a> to see the latest positions on the adrift buoy.
44t14|N|2.1-meter ionomer foam buoy|2.1D01|VIRGINIA BEACH 64 NM East of Virginia Beach, VA|SCOOP payload|36.611 N 74.847 W (36&#176;36'40" N 74&#176;50'49" W)|E|FZNT01.KWBC |NDBC Engineering test station. This buoy was recovered on 3/11/2018.
45001|N|2.1-meter ionomer foam buoy|2.6D57|MID SUPERIOR- 60 NM North Northeast Hancock, MI|SCOOP payload|48.061 N 87.793 W (48&#176;3'41" N 87&#176;47'33" W)|E|FZUS63.KMQT |
45002|N|2.1-meter ionomer foam buoy|2.6D57|NORTH MICHIGAN- Halfway between North Manitou and Washington Islands.|SCOOP payload|45.344 N 86.411 W (45&#176;20'39" N 86&#176;24'41" W)|E|FZUS63.KMKX |
45003|N|2.3-meter foam discus buoy|2.6D57|NORTH HURON - 32NM Northeast of Alpena, MI|SCOOP payload|45.351 N 82.840 W (45&#176;21'3" N 82&#176;50'23" W)|E|FZUS63.KDTX |
45004|N|2.3-meter foam discus buoy|2.6D57|EAST SUPERIOR -70 NM NE Marquette, MI|SCOOP payload|47.585 N 86.585 W (47&#176;35'7" N 86&#176;35'6" W)|E|FZUS63.KMQT |
45005|N|2.3-meter foam discus buoy|2.6D57|WEST ERIE - 16 NM NW of Lorain, OH|SCOOP payload|41.677 N 82.398 W (41&#176;40'36" N 82&#176;23'54" W)|E|FZUS61.KCLE |
45006|N|2.3-meter foam discus buoy|2.6D57|WEST SUPERIOR - 30NM NE of Outer Island, WI|SCOOP payload|47.335 N 89.793 W (47&#176;20'5" N 89&#176;47'34" W)|E|FZUS63.KMQT |
45007|N|2.3-meter foam discus buoy|2.6D57|SOUTH MICHIGAN - 43NM East Southeast of Milwaukee, WI|SCOOP payload|42.674 N 87.026 W (42&#176;40'25" N 87&#176;1'34" W)|E|FZUS63.KMKX |
45008|N|2.3-meter foam discus buoy|2.6D57|SOUTH HURON - 43NM East of Oscoda, MI|SCOOP payload|44.283 N 82.416 W (44&#176;17'0" N 82&#176;24'59" W)|E|FZUS63.KDTX |
45009|N|3-meter discus buoy|||DACT payload|41.600 N 82.000 W (41&#176;36'0" N 82&#176;0'0" W)|E| |
45010|N|2.4-meter discus buoy|||DACT payload|43.000 N 87.800 W (43&#176;0'0" N 87&#176;47'60" W)|E| |
45011|N|3-meter discus buoy|02|Grand Haven Michigan|VEEP payload|43.020 N 86.270 W (43&#176;1'12" N 86&#176;16'12" W)|E| |
45012|N|2.3-meter foam discus buoy|2.6D57|EAST Lake Ontario  - 20NM North Northeast of Rochester, NY|SCOOP payload|43.621 N 77.401 W (43&#176;37'15" N 77&#176;24'3" W)|E|FZUS61.KBUF |
45013|WM|Buoy||ATW20 - Atwater Park, WI||43.100 N 87.850 W (43&#176;6'0" N 87&#176;51'0" W)|C|FZUS53.KMKX |</p> UWM is currently supporting buoy cameras on select stations in the Great Lakes. Click <a href="/ndbcexit.php?url=https://uwm.edu/glos/atwater-deep-dashboard/">here </a>to see the latest image for this station.
45014|WM|Buoy||GB17 - South Green Bay, WI||44.794 N 87.758 W (44&#176;47'40" N 87&#176;45'28" W)|C|FZUS53.KGRB |Buoy recovered for winter.</p>UWM is currently supporting buoy cameras on select stations in the Great Lakes. Click <a href="/ndbcexit.php?url=https://uwm.edu/glos/green-bay-dashboard/">here </a>to see the latest image for this station.</p>Near-bottom water quality data is now being displayed. To view near-surface water quality data, click <a href="/ndbcexit.php?url=https://glbuoys.glos.us/45014">here</a>.
45015|CH|Buoy||Calumet Beach, Chicago, IL||41.714 N 87.527 W (41&#176;42'52" N 87&#176;31'38" W)|C| |
45016|CH|Buoy||Sixth-third St. Beach, Chicago, IL||41.783 N 87.573 W (41&#176;46'58" N 87&#176;34'23" W)|| |
45017|CH|Buoy||Oak St. Beach, Chicago, IL||41.903 N 87.622 W (41&#176;54'12" N 87&#176;37'20" W)|C| |
45018|CH|Buoy||Montrose Ave. Beach, Chicago, IL||41.968 N 87.637 W (41&#176;58'4" N 87&#176;38'14" W)|C| |
45019|CH|Buoy||Foster Ave. Beach, Chicago, IL||41.979 N 87.649 W (41&#176;58'45" N 87&#176;38'55" W)|C| |
45020|NI|Moored Buoy||Grand Traverse Bay South Buoy, MI||44.789 N 85.604 W (44&#176;47'20" N 85&#176;36'14" W)|E|FZUS53.KAPX |Buoy recovered for winter.<p>LimnoTech is currently supporting buoy cameras on select stations in the Great Lakes. Click <a href="/ndbcexit.php?url=http://www.limnotechdata.com/stations/albums/LGTB/LGTBImage.jpg">here </a>to see the latest image for this station.
45021|MI|Moored Buoy||Traverse Bay #3, MI||45.048 N 85.493 W (45&#176;2'53" N 85&#176;29'35" W)|E| |
45022|MC|Moored Buoy||Little Traverse Bay Buoy, MI||45.404 N 85.088 W (45&#176;24'15" N 85&#176;5'17" W)|E|FZUS53.KAPX |Buoy recovered for winter 10/12/23.
45023|MT|Moored Buoy||North Entry Buoy, North Keweenaw Peninsula, MI||47.270 N 88.607 W (47&#176;16'12" N 88&#176;36'25" W)|E|FZUS53.KMQT |
45024|MC|Moored Buoy||Ludington Buoy, MI||43.971 N 86.554 W (43&#176;58'17" N 86&#176;33'13" W)|E|FZUS53.KGRR |Buoy recovered 10/11/23 for winter.
45025|MT|Buoy||South Entry Buoy, South Keweenaw Peninsula, MI||46.969 N 88.398 W (46&#176;58'7" N 88&#176;23'52" W)|E|FZUS53.KMQT |
45026|LT|Buoy||Cook Nuclear Plant Buoy, Stevensville, MI||41.982 N 86.619 W (41&#176;58'55" N 86&#176;37'10" W)|E| |
45027|MN|Buoy||McQuade Harbor Nearshore, MN||46.860 N 91.930 W (46&#176;51'35" N 91&#176;55'48" W)|C|FZUS53.KDLH |
45028|MN|Buoy||Western Lake Superior||46.814 N 91.829 W (46&#176;48'51" N 91&#176;49'43" W)|C|FZUS63.KMQT |
45029|LT|Buoy||Holland Buoy, MI||42.900 N 86.272 W (42&#176;53'58" N 86&#176;16'20" W)|E|FZUS53.KGRR |
45132|C|3-meter discus buoy||Port Stanley||42.460 N 81.220 W (42&#176;27'36" N 81&#176;13'12" W)|E| |
45135|C|3-meter discus buoy||Prince Edward Pt||43.780 N 76.870 W (43&#176;46'48" N 76&#176;52'12" W)|E| |
45136|C|Buoy||Slate Island||48.540 N 86.950 W (48&#176;32'24" N 86&#176;57'0" W)|E| |
45137|C|Buoy||Georgian Bay||45.540 N 81.020 W (45&#176;32'24" N 81&#176;1'12" W)|E| |
45138|C|3-meter discus buoy||Mont Louis||49.540 N 65.710 W (49&#176;32'24" N 65&#176;42'36" W)|E| |
45139|C|3-meter discus buoy||West Lake Ontario - Grimsby||43.250 N 79.530 W (43&#176;15'0" N 79&#176;31'48" W)|E| |
45140|C|Buoy||Lake Winnipeg S. Basin||50.800 N 96.730 W (50&#176;48'0" N 96&#176;43'48" W)|C| |
45141|C|3-meter discus buoy||Great Slave Lake||61.180 N 115.310 W (61&#176;10'48" N 115&#176;18'36" W)|M| |
45142|C|3-meter discus buoy||Port Colborne||42.740 N 79.290 W (42&#176;44'24" N 79&#176;17'24" W)|E| |
45143|C|3-meter discus buoy||South Georgian Bay||44.940 N 80.627 W (44&#176;56'24" N 80&#176;37'36" W)|E| |
45144|C|Buoy||Lake Winnipeg North||53.230 N 98.290 W (53&#176;13'48" N 98&#176;17'24" W)|C| |
45145|C|Buoy||Lake Winnipeg Narrows||51.870 N 96.970 W (51&#176;52'12" N 96&#176;58'12" W)|C| |
45147|C|Buoy||Lake St Clair||42.430 N 82.680 W (42&#176;25'48" N 82&#176;40'48" W)|E| |
45148|C|Buoy||Lake of the Woods||49.650 N 94.500 W (49&#176;39'0" N 94&#176;30'0" W)|C| |
45149|C|Buoy||Southern Lake Huron||43.540 N 82.080 W (43&#176;32'24" N 82&#176;4'48" W)|E| |
45150|C|Buoy||Great Slave Lake, North Arm||61.980 N 114.130 W (61&#176;58'48" N 114&#176;7'48" W)|M| |
45151|C|Buoy||Lake Simcoe||44.500 N 79.370 W (44&#176;30'0" N 79&#176;22'12" W)|E| |
45152|C|Buoy||Lake Nipissing||46.230 N 79.720 W (46&#176;13'48" N 79&#176;43'12" W)|E| |
45154|C|Buoy||North Channel East||46.050 N 82.640 W (46&#176;3'0" N 82&#176;38'24" W)|E| |
45155|C|3-meter discus buoy||Pan Am Games||43.590 N 79.390 W (43&#176;35'24" N 79&#176;23'24" W)|E| |
45158|C|Buoy||Hudson Bay||59.000 N 94.000 W (59&#176;0'0" N 94&#176;0'0" W)|C| |
45159|C|3-meter discus buoy||NW Lake Ontario Ajax||43.770 N 78.980 W (43&#176;46'12" N 78&#176;58'48" W)|E| |
45160|C|Canadian NOMAD buoy||16-Mile Creek||43.417 N 79.633 W (43&#176;25'1" N 79&#176;38'0" W)|E| |Experimental buoy no longer operating.
45161|G|Buoy||Muskegon Buoy, MI||43.185 N 86.352 W (43&#176;11'7" N 86&#176;21'7" W)|E|FZUS53.KGRR |
45162|G|Buoy||Thunder Bay Buoy, Alpena, MI||44.990 N 83.271 W (44&#176;59'23" N 83&#176;16'17" W)|E|FZUS53.KAPX |
45163|G|Buoy||Saginaw Bay Buoy, MI||43.984 N 83.597 W (43&#176;59'4" N 83&#176;35'51" W)|E|FZUS53.KDTX |
45164|LT|Buoy||Cleveland Buoy, OH||41.748 N 81.698 W (41&#176;44'52" N 81&#176;41'54" W)|E|FZUS61.KCLE |
45165|LT|Buoy||Toledo Water Intake Buoy, Oregon, OH||41.702 N 83.261 W (41&#176;42'7" N 83&#176;15'41" W)|E|FZUS51.KCLE |LimnoTech is currently supporting buoy cameras on select stations in the Great Lakes.  Click <a href="/ndbcexit.php?url=http://www.limnotechdata.com/stations/albums/Toledo/ToledoImage.jpg">here </a>to see the latest image for this station.
45166|VE|Buoy||Lake Champlain - Inland Sea||44.785 N 73.258 W (44&#176;47'6" N 73&#176;15'29" W)|E| |Buoy recovered for winter.
45167|RC|Buoy||Erie Nearshore Buoy, Erie, PA||42.185 N 80.135 W (42&#176;11'5" N 80&#176;8'5" W)|E|FZUS51.KCLE |Buoy 45167 recovered for winter 1500z, 10/24/22.
